"pkey","series","tsoutlier","tsoutlier_type","tsoutlier_tstat"
"3/26/17",21.2,FALSE,,
"3/27/17",22.1,FALSE,,
"3/28/17",21.2,FALSE,,
"3/29/17",21.8,FALSE,,
"3/30/17",22.6,FALSE,,
"3/31/17",23.9,TRUE,"LS",6.74376758518038
"4/1/17",25.1,FALSE,,
"4/2/17",25.3,FALSE,,
"4/3/17",24.2,FALSE,,
"4/4/17",24.5,FALSE,,
"4/5/17",25.9,FALSE,,
"4/6/17",26.4,FALSE,,
"4/7/17",26.4,FALSE,,
"4/8/17",26.6,FALSE,,
"4/9/17",24.6,FALSE,,
"4/10/17",25.9,FALSE,,
"4/11/17",26.1,FALSE,,
"4/12/17",25.9,FALSE,,
"4/13/17",26.2,FALSE,,
"4/14/17",27.4,FALSE,,
"4/15/17",25.5,FALSE,,
"4/16/17",39.8,TRUE,"AO",17.0652180026562
"4/17/17",25.8,FALSE,,
"4/18/17",26,FALSE,,
"4/19/17",27.3,FALSE,,
"4/20/17",28,TRUE,"LS",9.17522700023507
"4/21/17",29.3,FALSE,,
"4/22/17",28.3,FALSE,,
"4/23/17",27.6,FALSE,,
"4/29/17",29.7,FALSE,,
"4/30/17",29,FALSE,,
"5/1/17",27.2,FALSE,,
"5/2/17",28.9,FALSE,,
"5/3/17",30.3,FALSE,,
"5/4/17",30.4,FALSE,,
"5/5/17",31.5,FALSE,,
"5/6/17",30.5,FALSE,,
"5/7/17",28.9,FALSE,,
"5/8/17",27.9,FALSE,,
"5/9/17",28.3,FALSE,,
"5/10/17",27.6,FALSE,,
"5/11/17",29.4,FALSE,,
"5/12/17",29.5,FALSE,,
"5/13/17",29.5,FALSE,,
"5/14/17",33,TRUE,"AO",4.85306325422314
"5/15/17",28.2,FALSE,,
"5/16/17",27.9,FALSE,,
"5/17/17",29,FALSE,,
"5/18/17",29,FALSE,,
"5/19/17",29.5,FALSE,,
"5/22/17",29.2,FALSE,,
"5/23/17",28.5,FALSE,,
